"DataSupplier","DataSet","Commodity","Species","SpeciesType","Value","Units","Year","TemporalResolution","Flag","FlagDescription"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Imports","Blue whiting","Demersal",0.035259,"1000 tonnes",2015,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Exports","Blue whiting","Demersal",2.690031,"1000 tonnes",2016,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Imports","Blue whiting","Demersal",0.027842,"1000 tonnes",2016,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Exports","Blue whiting","Demersal",0.444858,"1000 tonnes",2017,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Imports","Blue whiting","Demersal",0.33743,"1000 tonnes",2017,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Exports","Blue whiting","Demersal",10.966099,"1000 tonnes",2018,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Imports","Blue whiting","Demersal",1.4e-05,"1000 tonnes",2018,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Exports","Blue whiting","Demersal",21.605253,"1000 tonnes",2019,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Imports","Blue whiting","Demersal",8.3e-05,"1000 tonnes",2019,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Exports","Carp","Freshwater",0.001494,"1000 tonnes",2009,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Imports","Carp","Freshwater",0.131853,"1000 tonnes",2009,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Exports","Carp","Freshwater",0.000802,"1000 tonnes",2010,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Imports","Carp","Freshwater",0.372813,"1000 tonnes",2010,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Exports","Carp","Freshwater",0.008696,"1000 tonnes",2011,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Imports","Carp","Freshwater",1.17168,"1000 tonnes",2011,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Exports","Carp","Freshwater",0.000542,"1000 tonnes",2012,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Imports","Carp","Freshwater",0.671922,"1000 tonnes",2012,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Exports","Carp","Freshwater",0.000467,"1000 tonnes",2013,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Imports","Carp","Freshwater",0.715092,"1000 tonnes",2013,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Exports","Carp","Freshwater",3.6e-05,"1000 tonnes",2014,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Imports","Carp","Freshwater",0.969645,"1000 tonnes",2014,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Imports","Carp","Freshwater",1.46964,"1000 tonnes",2015,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Imports","Carp","Freshwater",1.556473,"1000 tonnes",2016,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Exports","Carp","Freshwater",0.038714,"1000 tonnes",2017,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
"HMRC","HMRC Overseas Trade data table - UK Trade Info","Imports","Carp","Freshwater",4.783378,"1000 tonnes",2017,"Annual","EXAMPLES: UC, SSTAlig","EXAMPLES:Units changed, Species & Species Type aligned"
